symbol,timestamp,open,high,low,close
GMXUSDT_PERP.3,2024-05-04 00:00:00+00:00,0.00417390217012,0.03150550394908,-0.01097027106146,-0.00010926966948
GMXUSDT.6,2024-05-04 00:00:00+00:00,0.01,0.01,0.01,0.01
GMXUSDT_PERP.A,2024-05-04 00:00:00+00:00,0.01,0.01,0.005351,0.01
pf_gmxusd.K,2024-02-26 00:00:00+00:00,0.0048772131944444,0.0090415981944444,0.0039759536111111,0.008049285
GMXUSDT_PERP.3,2024-02-26 00:00:00+00:00,0.0773844070419799,0.09218221298304,0.00484307392718,0.0460531155572
GMXUSDT.6,2024-02-26 00:00:00+00:00,0.043248,0.044996,0.043248,0.044944
GMXUSDT_PERP.A,2024-02-26 00:00:00+00:00,0.048078,0.063212,0.040213,0.040213
GMXUSDT_PERP.3,2024-01-29 00:00:00+00:00,0.00493018303407,0.01291559971883,0.00493018303407,0.01291559971883
GMXUSDT_PERP.A,2024-01-29 00:00:00+00:00,0.01,0.01,0.01,0.01
GMXUSDT.6,2024-01-29 00:00:00+00:00,0.01,0.01,0.01,0.01
pf_gmxusd.K,2024-01-29 00:00:00+00:00,0.0015313715277778,0.0034154641666667,0.0008650772222222,0.0025071802777778
GMXUSDT_PERP.A,2024-02-25 00:00:00+00:00,0.011566,0.052725,0.011566,0.02557
pf_gmxusd.K,2024-02-25 00:00:00+00:00,0.0044514494444444,0.0074863905555556,0.0042915588888889,0.0045999779166667
GMXUSDT_PERP.3,2024-02-25 00:00:00+00:00,0.06921099466087,0.09958175662219,-0.02831404580472,0.04866272961596
GMXUSDT.6,2024-02-25 00:00:00+00:00,0.01704,0.038804,0.01704,0.038804
pf_gmxusd.K,2024-05-19 00:00:00+00:00,0.0022629490277778,0.0022629490277778,-0.0004830047222222,0.0004419347222222
GMXUSDT_PERP.3,2024-05-19 00:00:00+00:00,-0.00804635433217,0.01578342838803,-0.01405820697613,0.0003058542657
GMXUSDT_PERP.A,2024-05-19 00:00:00+00:00,0.00588,0.01,0.00588,0.009459
GMXUSDT.6,2024-05-19 00:00:00+00:00,0.01,0.01,0.006767,0.01
GMXUSDT_PERP.3,2024-07-21 00:00:00+00:00,0.0030573151823,0.02163211537411,-0.0062285720803299,-0.00202916827574
GMXUSDT.6,2024-07-21 00:00:00+00:00,0.01,0.01,0.01,0.01
GMXUSDT_PERP.A,2024-07-21 00:00:00+00:00,0.01,0.01,0.006599,0.01
pf_gmxusd.K,2024-07-21 00:00:00+00:00,-0.0035688558333333,-0.0001237045833333,-0.0044386770833333,-0.0001237045833333
pf_gmxusd.K,2024-10-12 00:00:00+00:00,0.0006196061111111,0.0009862620833333,-0.0001613143055556,0.0009862620833333
GMXUSDT_PERP.3,2024-10-12 00:00:00+00:00,0.02348372153982,0.04551079320552,-0.00116498983087,0.02034076527717
GMXUSDT_PERP.A,2024-10-12 00:00:00+00:00,0.01,0.01,0.01,0.01
GMXUSDT.6,2024-10-12 00:00:00+00:00,0.01,0.01,0.01,0.01
pf_gmxusd.K,2024-07-23 00:00:00+00:00,0.0010179368055556,0.0014727694444444,-0.0036473373611111,-0.0019772651388889
GMXUSDT_PERP.3,2024-07-23 00:00:00+00:00,0.00879562825036,0.02214561254254,-0.0063537577474,0.00648625025655
GMXUSDT_PERP.A,2024-07-23 00:00:00+00:00,0.01,0.01,0.01,0.01
GMXUSDT.6,2024-07-23 00:00:00+00:00,0.01,0.01,0.01,0.01
GMXUSDT_PERP.A,2024-06-11 00:00:00+00:00,0.01,0.01,0.01,0.01
GMXUSDT.6,2024-06-11 00:00:00+00:00,0.01,0.01,0.01,0.01
pf_gmxusd.K,2024-06-11 00:00:00+00:00,-0.0006580366666667,-0.0002225248611111,-0.0025606,-0.0005520558333333
GMXUSDT_PERP.3,2024-06-11 00:00:00+00:00,0.01329681764382,0.02290013153847,-0.01755284181467,-0.0147611534524199
pf_gmxusd.K,2024-12-05 00:00:00+00:00,0.0065302826388889,0.0140395520833333,0.0054082784722222,0.0075642394444444
GMXUSDT.6,2024-12-05 00:00:00+00:00,0.055331,0.098829,0.055331,0.098829
GMXUSDT_PERP.A,2024-12-05 00:00:00+00:00,0.022441,0.071723,0.022441,0.071723
GMXUSDT_PERP.3,2024-12-05 00:00:00+00:00,0.03034107499651,0.06397556798821,0.02388039667325,0.05849296705262
pf_gmxusd.K,2024-08-24 00:00:00+00:00,-0.0014305661111111,0.0042146034722222,-0.0029315327777778,-0.0018783311111111
GMXUSDT_PERP.3,2024-08-24 00:00:00+00:00,0.00549892333414,0.03474775326628,-0.01975399188285,0.03474775326628
GMXUSDT_PERP.A,2024-08-24 00:00:00+00:00,0.01,0.01,0.01,0.01
GMXUSDT.6,2024-08-24 00:00:00+00:00,0.01,0.01,0.01,0.01
pf_gmxusd.K,2024-02-23 00:00:00+00:00,0.0052863843055556,0.0058699348611111,0.0031555386111111,0.0040172509722222
GMXUSDT_PERP.A,2024-02-23 00:00:00+00:00,0.032778,0.038174,0.02768,0.038174
GMXUSDT.6,2024-02-23 00:00:00+00:00,0.042018,0.042018,0.014115,0.014115
GMXUSDT_PERP.3,2024-02-23 00:00:00+00:00,0.043261951114,0.08785416209093,-0.04328995237686,0.03243681442339
GMXUSDT_PERP.A,2024-03-27 00:00:00+00:00,0.03989,0.041392,0.019345,0.041392
GMXUSDT_PERP.3,2024-03-27 00:00:00+00:00,0.05689955140077,0.05979238191573,0.02768138455044,0.05400629938659
GMXUSDT.6,2024-03-27 00:00:00+00:00,0.035252,0.037848,0.026712,0.037848
pf_gmxusd.K,2024-03-27 00:00:00+00:00,0.0064453463888889,0.0073410358333333,0.00437442375,0.0058128813888889
pf_gmxusd.K,2024-12-19 00:00:00+00:00,0.001415235,0.0043384525,-0.00686906875,-0.0002469519444444
GMXUSDT_PERP.3,2024-12-19 00:00:00+00:00,-0.0019274314244,0.01090207395165,-0.01113177970443,0.00903271326692
GMXUSDT_PERP.A,2024-12-19 00:00:00+00:00,0.01,0.01,0.001056,0.001056
GMXUSDT.6,2024-12-19 00:00:00+00:00,0.01,0.01,0.005573,0.005573
pf_gmxusd.K,2024-08-12 00:00:00+00:00,-0.0079426181944444,-0.00162016875,-0.0085263408333333,-0.00272987625
GMXUSDT_PERP.A,2024-08-12 00:00:00+00:00,-0.017064,0.01,-0.017064,0.01
GMXUSDT_PERP.3,2024-08-12 00:00:00+00:00,-0.02554952723569,-0.01616174395143,-0.04077525224569,-0.0194407954469
GMXUSDT.6,2024-08-12 00:00:00+00:00,-0.007925,-0.003449,-0.013043,-0.003449
pf_gmxusd.K,2024-06-17 00:00:00+00:00,-0.0041014236111111,-0.0025536906944444,-0.0050502730555556,-0.00272325125
GMXUSDT_PERP.3,2024-06-17 00:00:00+00:00,-0.01221806182055,0.01507451095006,-0.01439941055945,-0.00671279005092
GMXUSDT_PERP.A,2024-06-17 00:00:00+00:00,0.0085,0.01,0.0085,0.01
GMXUSDT.6,2024-06-17 00:00:00+00:00,0.01,0.01,0.01,0.01
GMXUSDT_PERP.A,2024-02-05 00:00:00+00:00,0.01,0.01,0.01,0.01
GMXUSDT.6,2024-02-05 00:00:00+00:00,0.01,0.01,0.01,0.01
GMXUSDT_PERP.3,2024-02-05 00:00:00+00:00,-0.0827227605767,0.04983833231822,-0.0827227605767,0.00738212878743
pf_gmxusd.K,2024-02-05 00:00:00+00:00,-0.0002201736111111,0.00166076,-0.0013943922222222,0.0010469313888889
GMXUSDT_PERP.A,2024-12-17 00:00:00+00:00,0.01,0.01,0.01,0.01
GMXUSDT.6,2024-12-17 00:00:00+00:00,0.01,0.01,0.01,0.01
GMXUSDT_PERP.3,2024-12-17 00:00:00+00:00,0.0151550632163,0.01839573197299,-0.0065327652917499,0.00365791144552
pf_gmxusd.K,2024-12-17 00:00:00+00:00,0.0042204284722222,0.0060920506944444,0.0018199973611111,0.0021197683333333
GMXUSDT_PERP.3,2024-06-25 00:00:00+00:00,0.01055038664546,0.01941708249018,-0.00960050266552,-0.00522382092766
GMXUSDT_PERP.A,2024-06-25 00:00:00+00:00,0.01,0.01,0.01,0.01
GMXUSDT.6,2024-06-25 00:00:00+00:00,0.01,0.01,0.01,0.01
pf_gmxusd.K,2024-06-25 00:00:00+00:00,-0.0028015734722222,-0.0009770025,-0.0037686040277778,-0.0036021888888889
GMXUSDT_PERP.3,2024-03-01 00:00:00+00:00,0.02951593860685,0.08609472210524,-0.02871912693854,0.06925100146634
GMXUSDT.6,2024-03-01 00:00:00+00:00,0.069992,0.086014,0.069992,0.07649
GMXUSDT_PERP.A,2024-03-01 00:00:00+00:00,0.071215,0.081667,0.06291,0.06291
pf_gmxusd.K,2024-03-01 00:00:00+00:00,0.0059084970833333,0.0097222894444444,0.0059084970833333,0.0097222894444444
GMXUSDT_PERP.A,2024-03-29 00:00:00+00:00,0.048982,0.062036,0.048982,0.062036
GMXUSDT_PERP.3,2024-03-29 00:00:00+00:00,0.05385594001536,0.06470108887427,0.04496315081474,0.05282283445359
GMXUSDT.6,2024-03-29 00:00:00+00:00,0.067811,0.067811,0.050425,0.050425
pf_gmxusd.K,2024-03-29 00:00:00+00:00,0.0064743948611111,0.0115079225,0.0053071595833333,0.0074123193055556
pf_gmxusd.K,2024-02-07 00:00:00+00:00,0.0019934411111111,0.0035781193055556,0.0001267555555556,0.0035781193055556
